moyenne_R,moyenne_V,moyenne_B,std_R,std_V,std_B,pct_vert,pct_jaune,pct_sombre,pct_blanc,moyenne_H,moyenne_S,circularite,aire_relative,solidite,classe
0.686997971774327,1.2541300587920339,0.6407887694875352,0.5848074707712683,1.1579556512060594,1.1238830798352086,1.2697684963390068,0.081296117842141,-0.4513652342180653,-0.10704422137662596,0.3231405587868922,-0.08648923465610875,1.143239003024884,1.63387692165154,1.1615077130778069,export
0.16256397731870423,-0.2685836451965303,0.4651804887911152,0.21354160781459225,0.15764962600869542,0.7455334553953764,-0.7134917330539442,-0.4522921981820313,-0.47382474478468967,-0.11460774443615329,-1.2588651436538132,-0.638451081980637,-0.7591767836860097,0.059369886883418335,-0.15020262364830553,rejet
0.3786477357758904,0.3140189408060259,1.5248108660551694,0.39661781862855594,0.7587143584545339,1.9171123974999735,-0.723089450695348,-1.3905860054674497,-0.12929529530893785,-0.22951345763628117,-0.8496776304535743,-1.9031662569084749,-1.958512383010485,0.41785591374616693,-1.534389298197221,rejet
-0.27848888827930046,-0.7795574526241578,-0.43310184127226725,1.1347591754856405,0.7636277804738852,0.9420004953067792,-0.716591707081534,-0.43046917278566676,0.7162017238971594,-0.06488110106313254,-0.8958032314514751,0.4233189936570346,-1.3281932732063968,-1.3243731750971723,-0.6077924668755447,rejet
0.4354802303999244,-0.20991954731719123,-0.2834040511375488,2.1861552913339874,1.5790261297083255,0.8022069978658045,-0.6816225931705253,0.3001914044588659,0.39705168168205934,0.275913426179511,0.3372389007970296,0.48970401660195045,-0.9103010117923187,0.027587930038846624,-0.9906730038405746,rejet
-0.11370306682563668,0.2197192770229322,-0.1677403567605536,0.18510902405058827,0.48125305486385167,0.2112385945501113,0.8223713242395957,1.0997540340368233,-0.17149801310126916,-0.22951345763628117,0.2863626290201051,0.04452647448576019,0.6567183881927243,-0.13103292730360638,1.4169899797472374,rejet
0.7805147718508934,0.8710477423687987,1.2327313193239247,-0.29330862923272355,-0.0678395773364132,-0.03187126150948965,-0.6187955305706556,-0.9855631987116164,-0.6011854934523014,-0.2155117324583087,0.07270591139650427,-1.086408315390691,0.033174999531202655,-0.06595214749233602,-0.3661081325416461,rejet
0.582596239538015,-0.39129240127636394,-1.0700257892546075,2.033130734539581,1.7373294499116385,1.0650848132330115,-0.7166459534852253,0.45449802774421333,0.5776995093528122,-0.19376587710895354,-0.4997334110603347,1.8826277361447827,-1.1809030581697173,-0.14186768531880162,-0.9758305081905929,rejet
-0.37749806630489385,0.427001930023087,-0.4894137772907277,-0.9594998877996559,-0.9900839136032308,-0.5406740164754302,2.067927256144383,1.3063944333244748,-0.8158116502682341,-0.22848256364789982,0.8583336176274725,0.8083404762625703,2.300150151972729,2.2408400656627587,1.7757503812839848,export
-0.44373650520904484,0.23631090608321273,-0.42445603960507433,-0.6564731160037632,-0.6919160443456868,-0.13426263901513805,1.983451199694328,1.181763338010221,-0.658222764466527,-0.22951345763628117,0.7355948251204639,0.5985122258195053,0.5355559216773079,-0.18448440017856818,-0.23284574150997023,export
